CustomerID,OrderID,Channel,PaymentType,Brand,Shop,Promotion,Sale price ,SaleDate,Reference
CTM012,OTS015,Online,Thẻ,LenovoX1,Phong Vũ,Không,27000000,23/4/2020,
CTM10164,OTS831,Offline,Tiền mặt,Apple,Viettel Store,Không,3020000,3/8/2020,Nhân viên cửa hàng bán Laptop
CTM10246,OTS293,Offline,Tiền mặt,Dell,FPT Shop,Có,18310000,9/10/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội, Website"
CTM1028,OTS34756,Offline,Tiền mặt,MSI,Phong Vũ,Không,12203000,24/5/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM1028,OTS1044,Offline,Tiền mặt,Asus,Thế giới di động,Có,13070000,8/10/2020,Nhờ người có chuyên môn tư vấn
CTM1028,OTS40774,Offline,Tiền mặt,Acer,Phong Vũ,Không,10172000,10/12/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM1028,OTS92355,Online,Thẻ,Acer,Viễn thông A,Không,20013000,26/12/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM10516,OTS37995,Offline,Thẻ,MSI,Techcare,Không,3232000,9/1/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM10516,OTS842,Online,Thẻ,Asus,Điện máy xanh,Không,19950000,24/9/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...)"
CTM10573,OTS67163,Online,Thẻ,HP,Techcare,Không,49699665,22/2/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop"
CTM10573,OTS51473,Online,Thẻ,Acer,,Có,13513000,10/3/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Mạng xã hội"
CTM10573,OTS4716,Offline,Thẻ,Asus,Phong Vũ,Không,11405000,7/9/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop"
CTM10573,OTS232,Offline,Tiền mặt,Acer,FPT Shop,Có,14510000,2/12/2020,"Nhân viên cửa hàng bán Laptop, Mạng xã hội"
CTM10591,OTS333,Online,Thẻ,Asus,Thế giới di động,Có,10800000,1/12/2020,"Thông qua người thân, bạn bè, Nhờ người có chuyên môn tư vấn, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Phương tiện truyền thông (báo, tivi,...), Website"
CTM10657,OTS551,Offline,Tiền mặt,Apple,Viettel Store,Không,4860000,3/7/2020,Nhờ người có chuyên môn tư vấn
CTM10863,OTS862,Offline,Thẻ,HP,FPT Shop,Có,16050000,8/8/2020,"Thông qua người thân, bạn bè, Nhân viên cửa hàng bán Laptop, Mạng xã hội, Website"
